name,email,twitter,facebook,instagram,youtube
A Cappella and Beatbox Society,acappellasoc@sheffield.ac.uk,https://twitter.com/shefacappella,https://www.facebook.com/shefacappella,https://www.instagram.com/shefacappella,
Bake Society,bakesoc@sheffield.ac.uk,https://twitter.com/bakesocsheff,https://www.facebook.com/sheffieldbakesoc/,https://www.instagram.com/bakesocsheff,https://youtube.com/user/https://www.youtube.com/channel/UCD7M1SkIvWDPVQHMXL2XDGw
Aviation and Simulation Society,aviate@sheffield.ac.uk,,https://www.facebook.com/groups/1244841025637949/,,
Benchball Society,Benchballsoc@sheffield.ac.uk,,https://www.facebook.com/benchsoc,https://www.instagram.com/uosbenchball,
Bellydance Society,bellydance@sheffield.ac.uk,https://twitter.com/SUBellyDance,https://www.facebook.com/UoSBellyDanceSociety/,https://www.instagram.com/uosbellydance,
Bar Society,bar.society@sheffield.ac.uk,https://twitter.com/barsocshefuni,https://www.facebook.com/groups/BarSoc/,https://www.instagram.com/barsoc_sheffuni,
Bhangra Society,kbudesha1@sheffield.ac.uk,,https://www.facebook.com/SheffieldUniversityBhangraSociety/,https://www.instagram.com/uosbhangrasoc,
Beekeeping Society,beekeeping@sheffield.ac.uk,https://twitter.com/twitter.com/sheffieldbees,https://www.facebook.com/facebook.com/uosbeesoc,https://www.instagram.com/instagram.com/sheffieldbeesoc,https://youtube.com/user/https://youtube.com/channel/UC_LC5MZcUwSZ9TvK27cIZlQ
Automatic Control and Systems Engineering Society,acse-society@sheffield.ac.uk,,https://www.facebook.com/groups/acsesoc/,,
Assassins' Guild Society,assassins@sheffield.ac.uk,https://twitter.com/SheffAssassins,https://www.facebook.com/groups/sheffieldassassins/,https://www.instagram.com/sheffassassins,
Architeers Society,architeerssoc@sheffield.ac.uk,https://twitter.com/Architeers,https://www.facebook.com/architeers,https://www.instagram.com/architeers,
Architecture Society,suas@sheffield.ac.uk,https://twitter.com/suas_news,https://www.facebook.com/sheffield.suas,https://www.instagram.com/suas_stories,
Archiscape Society,activities@sheffield.uk,,https://www.facebook.com/groups/788394274615911/about/,https://www.instagram.com/uos_archiscape,
Art Society,art@sheffield.ac.uk,,https://www.facebook.com/shefuniartsoc/,https://www.instagram.com/artsocsheffield,
Welfare Committee,welfare.committee@sheffield.ac.uk,,https://www.facebook.com/sheffieldwelfarecommittee,https://www.instagram.com/uniofshefwelfarecom,
Archaeology Society,arc.soc@sheffield.ac.uk,,https://www.facebook.com/SheffieldArcSoc,https://www.instagram.com/sheffieldarchsoc,
Volunteering Committee,volunteeringcommittee@sheffield.ac.uk,https://twitter.com/shef_volunteer,https://www.facebook.com/sheffvolcom,https://www.instagram.com/sheffvolcom,https://youtube.com/user/UCwiVE3sXvEz0R7i8LMwgPzw/featured
Technical Services Committee,tsc@sheffield.ac.uk,,https://www.facebook.com/TSCsheffield,https://www.instagram.com/tsc_sheffield,
Sports Committee,sports.committee@sheffield.ac.uk,,,,
Theatre Company Committee,theatre.company@sheffield.ac.uk,https://twitter.com/suTCo,https://www.facebook.com/SuTCo,,
Artificial Intelligence Society,aisoc@sheffield.ac.uk,,https://www.facebook.com/SheffAISoc,https://www.instagram.com/sheffaisoc,
Sustainability Committee,sustcom@sheffield.ac.uk,https://twitter.com/ShefUniSustCom,https://www.facebook.com/ShefUniSustCom/,https://www.instagram.com/sustcom,https://youtube.com/user/UCT-kY_db0qjaWHmn3QviO0g
