A Cappella and Beatbox Society,acappellasoc@sheffield.ac.uk
Academic Medicine Society,sams@sheffield.ac.uk
Acute Care and Trauma Society,actsoc@sheffield.ac.uk
AEGEE Society,aegee@sheffield.ac.uk
Aerospace Engineering Rugby Club,sheffieldengineers@gmail.com
Aerospace Engineering Society,aerospace.society@sheffield.ac.uk
African Caribbean Society,africarr@sheffield.ac.uk
African Christian Society,africanchristian@sheffield.ac.uk
Afrodance Society,Afrodancesoc@sheffield.ac.uk
Ahlulbayt Society,absoc@sheffield.ac.uk
Ahmadiyya Society,activities@sheffield.ac.uk
Airsoft Society,airsoft@sheffield.ac.uk
Allotment Society,allotmentsoc@sheffield.ac.uk
Alternative Economics Society,alt.think.econ@sheffield.ac.uk
Amnesty International Society,amnesty.international@sheffield.ac.uk
Anaesthesia Society,ansoc@sheffield.ac.uk
Anatomy Society,anatomysociety@sheffield.ac.uk
Animal Appreciation Society,animalappreciation@sheffield.ac.uk
Anime Society,ainme@sheffield.ac.uk
Arab Society,arabsoc@sheffield.ac.uk
Archaeology Society,arc.soc@sheffield.ac.uk
Archiscape Society,activities@sheffield.uk
Architecture Society,suas@sheffield.ac.uk
Architeers Society,architeerssoc@sheffield.ac.uk
Art Society,art@sheffield.ac.uk
Artificial Intelligence Society,aisoc@sheffield.ac.uk
Assassins' Guild Society,assassins@sheffield.ac.uk
Automatic Control and Systems Engineering Society,acse-society@sheffield.ac.uk
Aviation and Simulation Society,aviate@sheffield.ac.uk
Bake Society,bakesoc@sheffield.ac.uk
Bar Society,bar.society@sheffield.ac.uk
Beekeeping Society,beekeeping@sheffield.ac.uk
Bellydance Society,bellydance@sheffield.ac.uk
Benchball Society,Benchballsoc@sheffield.ac.uk
Bhangra Society,kbudesha1@sheffield.ac.uk
Bioengineering Society,bioeng.soc@sheffield.ac.uk
Biology Society,biology.society@sheffield.ac.uk
Biomedical PhD Society,
Biomedical Science Society,bmssoc@sheffield.ac.uk
Bionics Society,bionics@sheffield.ac.uk
Board Games Society,boardsoc@sheffield.ac.uk
Book Society,booksoc@sheffield.ac.uk
Brass Band Society,brassband@sheffield.ac.uk
British Asian Society,britishasian@sheffield.ac.uk
Brunei Society,brunei@sheffield.ac.uk
Buddhist Society,buddhist.society@sheffield.ac.uk
Bulgarian Society,bulgariansociety@sheffield.ac.uk
Burlesque Society,burlesque@sheffield.ac.uk
Capoeira Society,capoeira@sheffield.ac.uk
Carbon Neutral Society,cnu@sheffield.ac.uk
Card Gaming Society,cardgaming@sheffield.ac.uk
Cardio Society,cardiosoc@sheffield.ac.uk
Catholic Chaplaincy Fellowship Society,
Ceilidh Society,ceilidh.soc@sheffield.ac.uk
Chamber Choir Society,chamberchoir@sheffield.ac.uk
Chemical Engineering Society,chemeng.soc@sheffield.ac.uk
Chemistry Society,chemsoc@sheffield.ac.uk
Chess Society,chess@sheffield.ac.uk
"Chinese Classical Dance, Performing Arts and Wellb",cdpaws@sheffield.ac.uk
Chinese Society,chi.soc@sheffield.ac.uk
Chinese Students' and Scholars' Association Societ,CSSA@sheffield.ac.uk
Christian Medical Fellowship Society,Nu4cmf@sheffield.ac.uk
Christian Orthodox Society,cos@sheffield.ac.uk
Christian Union Society,christian-union@sheffield.ac.uk
Civil Engineering Society,civengsoc@Sheffield.ac.uk
Comedy Improvisation Society,shrimpsimprov@sheffield.ac.uk
